full_name,ast_x,ast_y,ast_z,r_au,class
  1566 Icarus (1949 MA),0.7455568277067491,-1.7584008238052302,-0.3396437295304652,1.9398933742627267,APO
  1620 Geographos (1951 RA),-0.0671839920272499,1.587806225568433,0.34075072251165756,1.6253471486518836,APO
  1862 Apollo (1932 HA),-0.9439690093260418,1.8222243139147927,0.22607027686858616,2.0646274993019116,APO
  1981 Midas (1973 EA),1.4375618257526723,1.0490634739243905,0.940410461168163,2.0128313418312485,APO
  2101 Adonis (1936 CA),-1.0973010321792498,0.5785345581748572,0.008457004196452502,1.2405012338342123,APO
  2102 Tantalus (1975 YA),-0.29976189747430876,0.7134817942339545,0.5020989821292707,0.9225057472644551,APO
  2135 Aristaeus (1977 HA),-1.0106135334011124,-0.676345232966762,0.19972609368037889,1.2323445543139175,APO
  2201 Oljato (1947 XC),2.7487814119267533,-1.5295730298681345,-0.13435862839241908,3.148562393422991,APO
  2340 Hathor (1976 UA),0.1958695475709882,1.19060273399984,-0.0939964241452032,1.2102624003188907,ATE
  3122 Florence (1981 ET3),-2.4802877065922413,0.12383415421038424,-0.3637749475482968,2.5098793233311767,AMO
  3200 Phaethon (1983 TB),1.5651317250414496,1.7097661622612796,0.579952928365528,2.3894106062928233,APO
  3361 Orpheus (1982 HR),0.4985605162461455,0.8465412938581823,-0.03537030934929496,0.9830797573697535,APO
  3362 Khufu (1984 QA),0.4027450727834833,-0.6768430916547581,0.07226892798317976,0.79091274001876,ATE
  3671 Dionysus (1984 KD),-2.012597303505417,2.13536328422496,0.5509417031588979,2.9856089867852607,APO
  3757 Anagolay (1982 XB),-1.4192417420995171,-1.662068407747395,0.06347307533596544,2.1864920182434324,APO
  4015 Wilson-Harrington (1979 VA),-2.798486003617887,-1.9162824056446544,-0.13128224224076518,3.394244716834106,APO
  4034 Vishnu (1986 PA),0.9019271836339712,-0.9230879773805136,0.10171517263836037,1.2945694399711458,APO
  4179 Toutatis (1989 AC),-3.0787362143143957,-0.3402423607973588,0.021264681635899615,3.097552861227226,APO
  4183 Cuno (1959 LM),1.0649267957575614,1.346576037811446,0.17838377905000274,1.7260234293191388,APO
  4450 Pan (1987 SY),1.4521005569290917,0.3105878989165928,0.12478239994522221,1.490178350977926,APO
  4486 Mithra (1987 SB),-0.6090229756331754,2.8082512800756407,0.05216286496980774,2.87400508026298,APO
  4581 Asclepius (1989 FC),0.31186048343147305,-1.2593613981083618,0.1085012493462495,1.3019295730880596,APO
  4660 Nereus (1982 DB),-1.1937010893916578,-0.49903034295535204,-0.030691396481699232,1.2941775518926928,APO
  4769 Castalia (1989 PB),0.8048029833329692,-0.03381889685565656,0.06694247584198182,0.8082900808732193,APO
  4953 (1990 MU),1.5936680648641248,-1.6312605032792948,-0.8648436639819986,2.4390045702410217,APO
  5011 Ptah (6743 P-L),-0.4542163249616652,0.6755108263545068,0.09723542289137996,0.8198061196701907,APO
